country,month,index_param_comb,index_repetition,n_clusters,max_cluster_size,R,k,yearly_mutation_rate,mean_generation_interval,testing_proba,sequencing_proba
switzerland,05,28,1,3663,2500,0.8837622987902952,0.25287033779339885,13.571802226663323,5.2,0.5721862792208173,0.17024585751031884
switzerland,05,29,1,3663,2500,0.8948250509643246,0.28952438217157095,13.69414062639194,5.2,0.9453651019697563,0.17024585751031884
switzerland,05,30,1,3663,2500,0.9103198384917621,0.2320300281019925,13.975974943687092,5.2,0.7403926358254546,0.17024585751031884
switzerland,05,31,1,3663,2500,0.894920092141994,0.2009827975654093,14.27128961719543,5.2,0.9531235630790488,0.17024585751031884
switzerland,05,32,1,3663,2500,0.8883003092654559,0.23506119935502734,14.099924884637469,5.2,0.5573535831445499,0.17024585751031884
switzerland,05,33,1,3663,2500,0.8870267524199658,0.36256157894865526,13.893325443765528,5.2,0.9854827471021816,0.17024585751031884
switzerland,05,34,1,3663,2500,0.9252615308065208,0.2525300477050506,13.71408877244268,5.2,0.8220650666322141,0.17024585751031884
switzerland,05,35,1,3663,2500,0.8721143108433993,0.20189081853111684,14.679538721485935,5.2,0.28269549468499755,0.17024585751031884
switzerland,05,36,1,3663,2500,0.9532019722097917,0.24142229094885673,13.863471085255048,5.2,0.610875002707945,0.17024585751031884
switzerland,05,37,1,3663,2500,0.9330637026023361,0.3143786776355488,14.077940327212795,5.2,0.8603168566360644,0.17024585751031884
switzerland,05,38,1,3663,2500,0.8832149746519493,0.2590724357359798,13.599039321113148,5.2,0.8110081093082951,0.17024585751031884
switzerland,05,39,1,3663,2500,0.8909079256759711,0.3285932457607269,14.311719191461883,5.2,0.9063040365599415,0.17024585751031884
switzerland,05,40,1,3663,2500,0.881759568254941,0.39247638482258634,14.150374934446667,5.2,0.5868499554858871,0.17024585751031884
switzerland,05,41,1,3663,2500,0.9007938720736964,0.16524780741044046,14.509792952408256,5.2,0.32108934455745525,0.17024585751031884
switzerland,05,42,1,3663,2500,0.9038699197066996,0.261402349082985,14.262765366491653,5.2,0.8740884875709893,0.17024585751031884
switzerland,05,43,1,3663,2500,0.9196669704038406,0.2342255668857333,14.074108019908556,5.2,0.7848710198722806,0.17024585751031884
switzerland,05,44,1,3663,2500,0.8920337060366503,0.29981850583400904,13.79399453499624,5.2,0.5254771874223969,0.17024585751031884
switzerland,05,45,1,3663,2500,0.9043819512445015,0.2590476413699845,13.751807363943223,5.2,0.7583269618648489,0.17024585751031884
switzerland,05,46,1,3663,2500,0.8804236666575136,0.23526207717467493,13.47105540985572,5.2,0.9428297146723,0.17024585751031884
switzerland,05,47,1,3663,2500,0.940952792917091,0.30724851466333103,13.721176000149178,5.2,0.5597063671920623,0.17024585751031884
